0,,,
亜（亞）,ア,亜流，亜麻，亜熱帯,
哀,アイ　,哀愁，哀願，悲哀,
,あわれ　,哀れ，哀れな話，哀れがる,
,あわれむ,哀れむ，哀れみ,
挨,アイ,挨拶,
愛,アイ,愛情，愛読，恋愛,愛媛（えひめ）県
曖,アイ,曖昧,
悪（惡）,アク　,悪事，悪意，醜悪,
,オ　,悪寒，好悪，憎悪,
,わるい,悪い，悪さ，悪者,
握,アク　,握手，握力，掌握,
,にぎる,握る，握り，一握り,
圧（壓）,アツ,圧力，圧迫，気圧,
扱,あつかう,扱う，扱い，客扱い,
宛,あてる,宛てる，宛先,⇔当てる，充てる
嵐,あらし,嵐，砂嵐,
安,アン　,安全，安価，不安,
,やすい,安い，安らかだ,
案,アン,案文，案内，新案,
暗,アン　,暗示，暗愚，明暗,
,くらい,暗い，暗がり,
以,イ,以上，以内，以後,
衣,イ　,衣服，衣食住，作業衣,浴衣（ゆかた）
,ころも,衣，羽衣,
位,イ　,位置，第一位，各位,「三位一体」，「従三位」は，「サンミイッタイ」，「ジュサンミ」。
,くらい,位，位取り，位する,
囲（圍）,イ　,囲碁，包囲，範囲,
,かこむ　,囲む，囲み,
,かこう,囲う，囲い,
医（醫）,イ,医学，医療，名医,
依,イ　,依頼，依拠，依然,
,　エ,帰依,
委,イ　,委任，委員，委細,
,ゆだねる,委ねる,
威,イ,威力，威圧，示威,
為（爲）,イ,為政者，行為，作為,為替（かわせ）
畏,イ　,畏敬，畏怖,⇔恐れる
,おそれる,畏れる，畏れ,
胃,イ,胃腸，胃酸，胃弱,
尉,イ,尉官，一尉，大尉,
異,イ　,異論，異同，奇異,
,こと,異にする，異なる,
移,イ　,移転，移民，推移,
,うつる　,移る，移り変わり,
,うつす,移す,
萎,イ　,萎縮,
,なえる,萎える,
偉,イ　,偉大，偉人，偉観,
,えらい,偉い，偉ぶる,
椅,イ,椅子,
彙,イ,語彙,＊（（付）第２の３【剝】参照）
意,イ,意見，意味，決意,意気地（いくじ）
違,イ　,違反，違法，相違,
,ちがう　,違う，違い，間違う,
,ちがえる,違える，見違える，間違える,
維,イ,維持，維新，繊維,
慰,イ　,慰安，慰問，慰労,
,なぐさめる　,慰める，慰め,
,なぐさむ,慰む，慰み,
遺,イ　,遺棄，遺産，遺失,「遺言」は，「イゴン」とも。
,　ユイ,遺言,
緯,イ,緯度，北緯，経緯,
域,イキ,域内，地域，区域,
育,イク　,育児，教育，発育,
,そだつ　,育つ，育ち,
,そだてる　,育てる，育て親,
,はぐくむ,育む,
一,イチ　,一度，一座，第一,一日（ついたち）
,イツ　,一般，同一，統一,一人（ひとり）
,ひと　,一息，一筋，一月目,
,ひとつ,一つ,
壱（壹）,イチ,壱万円,
逸（逸）,イツ,逸話，逸品，逸する,
茨,　いばら,,茨城県
芋,いも,芋，里芋，焼き芋,
引,イン　,引力，引退，索引,⇔弾く
,ひく　,引く，字引,
,ひける,引ける,
印,イン　,印刷，印象，調印,
,しるし,印，目印，矢印,
因,イン　,因果，原因，要因,
,よる,因る，……に因る,
咽,イン,咽喉,
姻,イン,姻族，婚姻,
員,イン,満員，定員，社員,
院,イン,院内，議院，病院,
淫,イン　,淫行，淫乱,＊（（付）第２の３参照）
,みだら,淫らだ,
陰,イン　,陰気，陰性，光陰,⇔影
,かげ　,陰，日陰,
,かげる,陰る，陰り,
飲,イン　,飲料，飲食，痛飲,
,のむ,飲む，飲み水,
隠（隱）,イン　,隠居，隠忍，隠語,
,かくす　,隠す,
,かくれる,隠れる，雲隠れ,
韻,イン,韻律，韻文，音韻,
右,ウ　,右岸，右折，右派,
,ユウ　,左右，座右,
,みぎ,右，右手,
宇,ウ,宇宙，気宇，堂宇,
羽,ウ　,羽毛，羽化，羽翼,「羽（は）」は，前に来る音によって「わ」，「ば」，「ぱ」になる。
,は　,白羽の矢，一羽（わ），三羽（ば），六羽（ぱ）,
,,羽，羽飾り,
,はね,,
雨,ウ　,雨量，降雨，梅雨,五月雨（さみだれ）
,あめ　,雨，大雨,時雨（しぐれ）
,　あま,雨雲，雨戸，雨具,梅雨（つゆ）
,,,「春雨」，「小雨」，「霧雨」などは，「はるさめ」，「こさめ」，「きりさめ」。
唄,　うた,小唄，長唄,⇔歌
鬱,ウツ,憂鬱,
畝,うね,畝，畝間，畝織,
浦,うら,浦，津々浦々,
運,ウン　,運動，運命，海運,
,はこぶ,運ぶ,
雲,ウン　,雲海，風雲，積乱雲,
,くも,雲，雲隠れ,
永,エイ　,永続，永久，永遠,⇔長い
,ながい,永い，日永,
泳,エイ　,泳法，水泳，背泳,
,およぐ,泳ぐ，泳ぎ,
英,エイ,英雄，英断，俊英,
映,エイ　,映画，上映，反映,
,うつる　,映る，映り,⇔写る
,うつす　,映す,⇔写す
,はえる,映える，夕映え,⇔栄える
栄（榮）,エイ　,栄枯，栄養，繁栄,
,さかえる　,栄える，栄え,
,はえ　,栄えある，見栄え，出来栄え,⇔映え
,はえる,栄える,⇔映える
営（營）,エイ　,営業，経営，陣営,
,いとなむ,営む，営み,
詠,エイ　,詠嘆，詠草，朗詠,⇔読む
,よむ,詠む,
影,エイ　,影響，陰影，撮影,⇔陰
,かげ,影，影絵，人影,
鋭,エイ　,鋭利，鋭敏，精鋭,
,するどい,鋭い，鋭さ,
衛（衞）,エイ,衛生，護衛，守衛,
易,エキ　,易者，貿易，不易,
,イ　,容易，安易，難易,
,やさしい,易しい，易しさ,
疫,エキ　,疫病，悪疫，防疫,
,　ヤク,疫病神,
益,エキ　,有益，利益，益する,
,　ヤク,御利益,
液,エキ,液体，液状，血液,
駅（驛）,エキ,駅長，駅伝，貨物駅,
悦,エツ,悦楽，喜悦,
越,エツ　,越境，超越，優越,
,こす　,越す，年越し,⇔超す
,こえる,越える，山越え,⇔超える
謁（謁）,エツ,謁見，拝謁，謁する,
閲,エツ,閲覧，閲歴，校閲,
円（圓）,エン　,円卓，円熟，一円,⇔丸い
,まるい,円い，円さ，円み,
延,エン　,延長，延期，遅延,
,のびる　,延びる,⇔伸びる
,のべる　,延べる，延べ,⇔伸べる
,のばす,延ばす,⇔伸ばす
沿,エン　,沿海，沿線，沿革,⇔添う
,そう,沿う，川沿い,
炎,エン　,炎上，炎天，火炎,
,ほのお,炎,
怨,エン　,怨恨,
,オン,怨念,
宴,エン,宴会，宴席，酒宴,
媛,エン,才媛,愛媛（えひめ）県
援,エン,援助，応援，声援,
園,エン　,園芸，公園，楽園,
,その,学びの園，花園,
煙,エン　,煙突，煙霧，喫煙,
,けむる　,煙る,
,けむり　,煙,
,けむい,煙い，煙たい，煙たがる,
猿,エン　,野猿，類人猿，犬猿の仲,
,さる,猿,
遠,エン　,遠近，永遠，敬遠,
,　オン　,久遠,
,とおい,遠い，遠出，遠ざかる,
鉛,エン　,鉛筆，亜鉛，黒鉛,
,なまり,鉛，鉛色,
塩（鹽）,エン　,塩分，塩酸，食塩,
,しお,塩，塩辛い,
演,エン,演技，演奏，講演,
縁（緣）,エン　,縁故，縁日，血縁,「因縁」は，「インネン」。
,ふち,縁，縁取り，額縁,
艶（艷）,エン　,妖艶,
,つや,艶，色艶,
汚,オ　,汚点，汚物，汚名,
,けがす　,汚す,
,けがれる　,汚れる，汚れ,
,けがらわしい　,汚らわしい,
,よごす　,汚す，口汚し,
,よごれる　,汚れる，汚れ，汚れ物,
,きたない,汚い，汚らしい,
王,オウ,王子，帝王,「親王」，「勤王」などは，「シンノウ」，「キンノウ」。
凹,オウ,凹凸，凹面鏡，凹レンズ,凸凹（でこぼこ）
央,オウ,中央,
応（應）,オウ　,応答，応用，呼応,「反応」，「順応」などは，「ハンノウ」，「ジュンノウ」。
,,,⇔答える
,こたえる,応える,
往,オウ,往復，往来，既往症,
押,オウ　,押収，押印，押韻,
,おす　,押す，押し,⇔推す
,おさえる,押さえる，押さえ,⇔抑える
旺,オウ,旺盛,
欧（歐）,オウ,欧文，西欧，渡欧,
殴（毆）,オウ　,殴打,
,なぐる,殴る,
桜（櫻）,オウ　,桜花，観桜,
,さくら,桜，桜色，葉桜,
翁,オウ,老翁,
奥（奧）,オウ　,奥義，深奥,「奥義」は，「おくギ」とも。
,おく,奥，奥底，奥さん,
横（橫）,オウ　,横断，横領，専横,
,よこ,横，横顔，横たわる,
岡,　おか,,岡山県，静岡県，福岡県
屋,オク　,屋上，屋外，家屋,
,や,屋根，花屋，楽屋,母屋（おもや）
,,,部屋（へや）
,,,⇔家
億,オク,億万，一億,
憶,オク,記憶，追憶,
臆,オク,臆説，臆測，臆病,「臆説」，「臆測」は，
,,,「憶説」，「憶測」とも書く。
虞,おそれ,虞,
乙,オツ,乙種，甲乙,乙女（おとめ）
俺,おれ,俺,
卸,おろす　,卸す,⇔下ろす，降ろす
,おろし,卸，卸商,
音,オン　,音楽，発音，騒音,「観音」は，「カンノン」。
,イン　,福音，母音,
,おと　,音，物音,
,ね,音，音色,
恩,オン,恩情，恩人，謝恩,
温（溫）,オン　,温暖，温厚，気温,
,あたたか　,温かだ,⇔暖か
,あたたかい　,温かい,⇔暖かい
,あたたまる　,温まる,⇔暖まる
,あたためる,温める,⇔暖める
穏（穩）,オン　,穏和，穏当，平穏,「安穏」は，「アンノン」。
,おだやか,穏やかだ,
下,カ　,下流，下降，落下,下手（へた）
,ゲ　,下水，下車，上下,
,した　,下，下見,
,しも　,下，川下,
,もと　,下，足下,⇔元，本，基
,さげる　,下げる,⇔提げる
,さがる　,下がる,
,くだる　,下る，下り,
,くだす　,下す,
,くださる　,下さる,
,おろす　,下ろす，書き下ろす,⇔卸す，降ろす
,おりる,下りる,⇔降りる
化,カ　,化石，化学，文化,
,ケ　,化粧，化身，権化,
,ばける　,化ける，お化け,
,ばかす,化かす,
火,カ　,火災，灯火，発火,⇔灯
,ひ　,火，火花，炭火,
,　ほ,火影,
加,カ　,加入，加減，追加,
,くわえる　,加える,
,くわわる,加わる,
可,カ,可否，可能，許可,
仮（假）,カ　,仮面，仮定，仮装,仮名（かな）
,　ケ　,仮病,
,かり,仮の住まい，仮に，仮処分,
何,カ　,幾何学,
,なに　,何，何者，何事,
,　なん,何本，何十，何点,
